title,author,dateRead
"A Brief History of Seven Killings","Marlon James",2018-02-21
"A Clash of Kings  (A Song of Ice and Fire, #2)","George R.R. Martin",2020-10-22
"A Dance with Dragons 1: Dreams and Dust (A Song of Ice and Fire, #5, Part 1 of 2)","George R.R. Martin",2022-04-02
"A Dance with Dragons 2: After the Feast (A Song of Ice and Fire, #5, Part 2 of 2)","George R.R. Martin",2022-04-02
"A Feast for Crows (A Song of Ice and Fire, #4)","George R.R. Martin",2021-10-16
"A Game of Thrones (A Song of Ice and Fire, #1)","George R.R. Martin",2020-05-23
"""A Problem from Hell"": America and the Age of Genocide","Samantha Power",2018-02-24
"A Rumor of War: The Classic Vietnam Memoir","Philip Caputo",2018-02-25
"A Storm of Swords 2: Blood and Gold (A Song of Ice and Fire, #3, Part 2 of 2)","George R.R. Martin",2021-07-03
"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3.1)","George R.R. Martin",2021-06-14
"All Quiet on the Western Front","Erich Maria Remarque",2020-08-02
"All the Light We Cannot See","Anthony Doerr",2018-02-21
"All the Pretty Horses (The Border Trilogy, #1)","Cormac McCarthy",2020-08-29
"An Uncertain Glory: India and its Contradictions","Jean Drèze",2018-02-21
"At the Existentialist Café","Sarah Bakewell",2018-02-21
"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou",2021-04-17
"Before They Are Hanged (The First Law, #2)","Joe Abercrombie",2023-11-05
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity","Katherine Boo",2018-02-24
"Believe Us: How Jürgen Klopp transformed Liverpool into title winners","Melissa Reddy",2021-09-11
"Best Served Cold","Joe Abercrombie",2025-04-12
"Bewilderment","Richard Powers",2022-11-10
"Blitzed: Drugs in Nazi Germany","Norman Ohler",2018-02-21
"Blood Meridian, or, the Evening Redness in the West","Cormac McCarthy",2018-02-21
"Blueprint for Armageddon (Hardcore History, #50-55)","Dan Carlin",2020-02-16
"Brain Rules for Baby: How to Raise a Smart and Happy Child from Zero to Five","John Medina",2019-07-28
"Bring the Noise: The Jürgen Klopp Story","Raphael Honigstein",2018-02-21
"Bring Up the Bodies (Thomas Cromwell, #2)","Hilary Mantel",2019-02-07
"Britain Begins","Barry Cunliffe",2020-10-31
"Bury My Heart at Wounded Knee: An Indian History of the American West","Dee Brown",2018-11-22
"Caliban's War (The Expanse, #2)","James S.A. Corey",2018-02-21
"Catch-22","Joseph Heller",2018-02-21
"Children of Memory (Children of Time, #3)","Adrian Tchaikovsky",2024-12-31
"Children of Time (Children of Time, #1)","Adrian Tchaikovsky",2018-03-15
"Cities of the Plain (The Border Trilogy, #3)","Cormac McCarthy",2021-12-12
"Cloud Cuckoo Land","Anthony Doerr",2023-08-05
"Consider Phlebas (Culture, #1)","Iain M. Banks",2019-09-21
"Creek Mary's Blood","Dee Brown",2022-07-08
"Days Without End (Days Without End, #1)","Sebastian Barry",2019-11-03
"Death's End (Remembrance of Earth's Past, #3)","Liu Cixin",2021-12-13
"Exhalation","Ted Chiang",2020-12-29
"Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think","Hans Rosling",2018-10-19
"Frankenstein","Mary Wollstonecraft Shelley",2018-08-14
"God Species: How the Planet Can Survive the Age of Humans","Mark Lynas",2018-02-21
"Hadji Murád","Leo Tolstoy",2018-02-21
"Helgoland: Making Sense of the Quantum Revolution","Carlo Rovelli",2021-07-03
"Hitler","Ian Kershaw",2019-06-08
"Homo Deus: A History of Tomorrow","Yuval Noah Harari",2018-02-21
"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between","Bent Flyvbjerg",2025-11-28
"How Emotions Are Made: The Secret Life of the Brain","Lisa Feldman Barrett",2019-10-26
"Hyperion (Hyperion Cantos, #1)","Dan Simmons",2019-01-27
"I Contain Multitudes: The Microbes Within Us and a Grander View of Life","Ed Yong",2020-02-29
"Inspired: How to Create Tech Products Customers Love","Marty Cagan",2022-11-19
"Intelligence and How to Get It: Why Schools and Cultures Count","Richard E. Nisbett",2018-02-21
"Jonathan Strange & Mr Norrell","Susanna Clarke",2019-09-03
"Khan: Empire of Silver (Conqueror, #4)","Conn Iggulden",2021-01-01
"Kings of Kings (Hardcore History, #56-58)","Dan Carlin",2020-02-16
"Last Argument of Kings (The First Law, #3)","Joe Abercrombie",2024-06-02
"Leviathan Falls (The Expanse, #9)","James S.A. Corey",2024-06-16
"Leviathan Wakes (The Expanse, #1)","James S.A. Corey",2018-02-21
"Life and Fate","Vasily Grossman",2018-02-21
"Man's Search for Meaning","Viktor E. Frankl",2021-09-17
"Midnight's Children","Salman Rushdie",2018-02-21
"Nemesis Games (The Expanse, #5)","James S.A. Corey",2021-10-16
"No Country for Old Men","Cormac McCarthy",2019-10-05
"Oryx and Crake (MaddAddam, #1)","Margaret Atwood",2019-10-25
"Other Minds","Peter Godfrey-Smith",2018-10-19
"Pale Blue Dot: A Vision of the Human Future in Space","Carl Sagan",2019-04-01
"Penguin Random House Python Crash Course","Eric Matthes",2021-12-01
"Persepolis Rising (The Expanse, #7)","James S.A. Corey",2023-05-13
"Poor Economics","Abhijit V. Banerjee",2018-02-21
"Punic Nightmares (Hardcore History, #21-23)","Dan Carlin",2020-02-16
"Sapiens: A Brief History of Humankind","Yuval Noah Harari",2018-02-21
"Scale: The Universal Laws of Growth, Innovation, Sustainability, and the Pace of Life in Organisms, Cities, Economies, and Companies","Geoffrey B. West",2018-02-22
"Science: A Four Thousand Year History","Patricia Fara",2018-02-22
"Shuggie Bain","Douglas Stuart",2023-07-30
"Shutdown: How Covid Shook the World's Economy","Adam Tooze",2021-12-27
"Station Eleven","Emily St. John Mandel",2022-05-01
"Superforecasting: The Art and Science of Prediction","Philip E. Tetlock",2020-07-16
"The Beekeeper of Aleppo","Christy Lefteri",2021-12-16
"The Beginning of Infinity: Explanations That Transform the World","David Deutsch",2018-02-21
"The Better Angels of Our Nature: A History of Violence and Humanity","Steven Pinker",2018-02-21
"The Blade Itself (The First Law, #1)","Joe Abercrombie",2022-12-28
"The Celtic Holocaust (Hardcore History, #60)","Dan Carlin",2020-02-16
"The Cold War: A World History","Odd Arne Westad",2019-01-04
"The Coming Wave: Technology, Power, and the Twenty-first Century's Greatest Dilemma","Mustafa Suleyman",2023-12-19
"The Crossing (The Border Trilogy, #2)","Cormac McCarthy",2021-04-04
"The Crying of Lot 49","Thomas Pynchon",2018-02-22
"The Dark Forest (Remembrance of Earth's Past, #2)","Liu Cixin",2020-09-11
"The Death of Ivan Ilych","Leo Tolstoy",2022-07-16
"The Emperor of All Maladies: A Biography of Cancer","Siddhartha Mukherjee",2018-02-21
"The Fabric of Reality: The Science of Parallel Universes--and Its Implications","David Deutsch",2018-08-13
"The Face of Battle: A Study of Agincourt, Waterloo and the Somme","John Keegan",2023-08-26
"The Fall of Hyperion (Hyperion Cantos, #2)","Dan Simmons",2019-05-04
"The Force","Don Winslow",2023-06-29
"The Forever War (The Forever War, #1)","Joe Haldeman",2020-03-31
"The Gene: An Intimate History","Siddhartha Mukherjee",2018-08-13
"The Great Leveler: Violence and the History of Inequality from the Stone Age to the Twenty-First Century","Walter Scheidel",2020-12-29
"The Heroes","Joe Abercrombie",2025-12-22
"The Hidden Spring: A Journey to the Source of Consciousness","Mark Solms",2024-05-30
"The Mirror & the Light (Thomas Cromwell, #3)","Hilary Mantel",2020-07-01
"The Name of the Wind (The Kingkiller Chronicle, #1)","Patrick Rothfuss",2018-08-13
"The Order of Time","Carlo Rovelli",2022-04-30
"The Origins of Political Order: From Prehuman Times to the French Revolution","Francis Fukuyama",2019-09-07
"The Overstory","Richard Powers",2022-07-02
"The Passenger (The Passenger #1)","Cormac McCarthy",2022-11-15
"The Road","Cormac McCarthy",2018-08-14
"The Scientist in the Crib: What Early Learning Tells Us About the Mind","Alison Gopnik",2020-06-15
"The Second World War","Antony Beevor",2018-07-24
"The Silk Roads: A New History of the World","Peter Frankopan",2018-08-29
"The Sympathizer (The Sympathizer, #1)","Viet Thanh Nguyen",2018-10-23
"The Tattooist of Auschwitz","Heather Morris",2018-11-26
"The Terror","Dan Simmons",2020-05-23
"The Three-Body Problem (Remembrance of Earth's Past, #1)","Liu Cixin",2019-06-17
"The Undoing Project: A Friendship that Changed the World","Michael Lewis",2018-02-21
"The Vanquished: Why the First World War Failed to End","Robert Gerwarth",2020-12-29
"The Wages of Destruction: The Making and Breaking of the Nazi Economy","Adam Tooze",2022-09-17
"The Way of Kings (The Stormlight Archive, #1)","Brandon Sanderson",2021-03-06
"There Is No Antimemetics Division","qntm",2025-12-29
"Thinking, Fast and Slow","Daniel Kahneman",2018-02-21
"This Is How You Lose the Time War","Amal El-Mohtar",2020-07-03
"Tiamat's Wrath (The Expanse, #8)","James S.A. Corey",2024-06-16
"Twilight of the Æsir (Hardcore History, #69-70)","Dan Carlin",2023-12-14
"Viking Britain","Thomas Williams",2018-11-05
"War and Peace","Leo Tolstoy",2018-02-21
"Wean in 15: Up-to-date Advice and 100 Quick Recipes","Joe Wicks",2020-07-08
"When Breath Becomes Air","Paul Kalanithi",2018-02-21
"Wolf Hall (Thomas Cromwell, #1)","Hilary Mantel",2018-10-19
"Wolf of the Plains","Conn Iggulden",2018-02-21
"Words of Radiance (The Stormlight Archive, #2)","Brandon Sanderson",2022-04-09
"Wrath of the Khans (Hardcore History, #43-47)","Dan Carlin",2020-02-16
